oid,tid,sid,meanra,meandec,sigmara,sigmadec,firstmjd,lastmjd,deltamjd,n_det,n_forced,n_non_det,created_date,updated_date,classifier_id,classifier_version,class_id,probability,ranking
170028487021690949,1,1,65.07843337755803,-46.94148764553909,1.3379579710646312e-07,1.4254864818955264e-07,61090.056141041365,61105.093643486834,15.037502445469727,158,238,0,2026-02-19,2026-03-06,1,201,0,0.9756836,1
313677513881026620,1,1,8.488891397745912,-42.345833929105595,9.814167126360827e-07,8.926568972474962e-07,60984.2151761382,61060.06253122787,75.84735508967424,11,0,0,2026-02-13,2026-02-24,1,201,0,0.97544426,1
313888627191971880,1,1,149.7716188656444,2.636144971404415,2.2941366029699015e-05,2.5397242332983454e-05,61032.328496270005,61095.14600623819,62.817509968183,16,369,0,2026-02-13,2026-02-24,1,201,0,0.9751941,1
170028527029059651,1,1,186.70131900092056,7.8358595487482345,1.9692896504661225e-05,2.343818527037526e-05,61090.24939239549,61095.19483766307,4.9454452675781795,12,211,0,2026-02-20,2026-02-24,1,201,0,0.9750972,1
170028528395878418,1,1,187.4077509502906,7.824249287045992,1.0287813121704053e-05,1.1527002032010488e-05,61090.247937232445,61095.189580421094,4.941643188649323,20,152,0,2026-02-20,2026-02-24,1,201,0,0.974859,1
170028538682409026,1,1,185.67171342370045,7.950281736052755,9.280763435975698e-06,9.333284948282625e-06,61090.266171857664,61095.21421834042,4.948046482757491,21,238,0,2026-02-19,2026-02-24,1,201,0,0.9748189,1
170028527473131524,1,1,187.64466723189398,6.674888432265812,1.596616884998316e-05,1.8318581599344836e-05,61090.25122729094,61095.207439466205,4.956212175267865,10,183,0,2026-02-20,2026-02-24,1,201,0,0.9747294,1
170028530145427532,1,1,187.376020636848,7.992851858256099,1.8601197836689291e-07,1.95966737625374e-07,61090.2581880138,61098.212403121695,7.954215107893106,100,410,0,2026-02-20,2026-02-27,1,201,0,0.97463757,1
170028527400255545,1,1,185.55250301981403,6.9442799693932455,1.2217416742737446e-05,1.3853796128375155e-05,61090.24892803998,61095.21421834042,4.965290300438937,15,260,0,2026-02-19,2026-02-24,1,201,0,0.9735815,1
170028537107447914,1,1,186.15672628081316,6.460930679237104,2.125470399104426e-06,2.216592576101635e-06,61090.25912593749,61095.20790604932,4.948780111830274,21,206,0,2026-02-20,2026-02-24,1,201,0,0.9720824,1
